fei_num,name,city,state,zip
3009209308,rhythm superfoods,austin,texas,78704
3012580879,red river commodities,fargo,north dakota,58102
3007651266,pocas international,s hackensack,new jersey,07606
3013563260,casa ofelias,north baldwin,new york,11510
3013377198,deal master,buffalo,new york,14228
3010940776,source one international,bridgewater,new jersey,08807
3008324514,ww industrial group,new hyde park,new york,11042
3004048964,hpc foods,honolulu,hawaii,96817
3017171496,american airlines,winston salem,north carolina,27105
3004048245,hpc foods,honolulu,hawaii,96819
3009116383,mena produce,mcallen,texas,78503
3012426408,supreme fruit produce,san diego,california,92154
3011479681,dg sales,chula vista,california,91911
3012322560,martin bauer,secaucus,new jersey,07094
3013992120,auri nutrascience,farmingdale,new york,11735
3015452546,charidimos inc dba athena foods,southfield,michigan,48033
3009758952,short hills aviation services,morristown,new jersey,07960
3012159099,jimmy 500,valley village,california,91607
2011608,nielsen citrus products company,huntington beach,california,92649
3013415428,jamaican flavors patties,jamaica,new york,11434
3012145205,airbus americas,mobile,alabama,36615
3012345633,psr trading,lakewood,new jersey,08701
1310153,pennant ingredients,rochester,new york,14611
1316193,roger l urban,north tonawanda,new york,14120
3010229358,nijay international,anaheim,california,92807
3017417653,john k stoltzfus,herndon,kentucky,42236
3015703999,compass logistics,mcallen,texas,78503
3014720533,american airlines,greensboro,north carolina,27410
3002690506,broadway fish and lobster corp dba patriot seafood,salem,massachusetts,01970
1000151303,madison seafood,newark,new jersey,07114
3010627415,delicias andinas food,maspeth,new york,11378
3012027538,gb green gastronome,queens village,new york,11428
1380783,giroux orchards,chazy,new york,12921
3011279956,micro mamas,weare,new hampshire,03281
3011771371,norcal beverage,w sacramento,california,95691
3003693221,grindstone neck of maine,winter harbor,maine,04693
3002787100,sweetmaid,dearborn,michigan,48126
3007026675,dairy fresh farms,port angeles,washington,98362
3005133523,vh foods,colorado springs,colorado,80904
1122618,elite spice,jessup,maryland,20794
3010939356,ariola foods,farmingdale,new york,11735
1314311,seneca foods corporation,geneva,new york,14456
3060051,gate gourmet,seatac,washington,98158
3003815995,freeze dry foods,albion,new york,14411
2431630,adamba imports international,brooklyn,new york,11237
3003966689,mister fish,baltimore,maryland,21224
3011263736,saxy chef,antrim,new hampshire,03440
3011379013,nuz enterprises,farmingdale,new york,11735
3004396916,paradise herbs,huntington beach,california,92647
3006242902,bcd food,gardena,california,90249
1000258139,la lucky import and export,bell,california,90201
1028739,delta air lines,atlanta,georgia,30354
3003262799,chefmaster,fullerton,california,92833
3010634701,kcb bakery and food distributors,maspeth,new york,11378
3009279351,fresh food group,oswego,new york,13126
1319358,dsm nutritional products,schenectady,new york,12308
3013239940,central  valley impex,fresno,california,93706
3012128419,stonehill produce,dana point,california,92624
3012130147,three peaks wellness dba chill pop shop,cleveland,ohio,44114
3023846,noble northwest enterprises,kent,washington,98031
3010267272,military sealift command,mobile,alabama,36602
3013980431,margie g sweets,placerville,california,95667
3010459684,endeavor air,minneapolis,minnesota,55450
2923753,valley lahvosh baking company,fresno,california,93721
2245465,rasi laboratories,cranbury,new jersey,08512
3012184123,artesanias oaxaquenas el milagro,seaside,california,93955
3006420530,fgm frozen foods,brownsville,texas,78520
3012618848,sohr foods,cottage grove,oregon,97424
3015458094,greenfruit avocados,newport beach,california,92660
3012277548,fervasi,glendale,california,91203
3013137335,smingredients,san juan capistrano,california,92675
3009845035,the cultured kitchen,sacramento,california,95827
2923336,joe kim kim chee,honolulu,hawaii,96817
3003833335,honolulu baking company,honolulu,hawaii,96813
1212170,rousselot,peabody,massachusetts,01960
3003431182,pharmachem laboratories,south hackensack,new jersey,07606
3006639201,desert premium group,albuquerque,new mexico,87107
3004380922,country fresh,grand prairie,texas,75050
3012449280,elan foods,fresno,california,93722
3010964444,blackwater mustard company,contoocook,new hampshire,03229
3004152421,33rd street bakery,long island city,new york,11101
2022390,harvest hill beverage company,anaheim,california,92807
3013599671,us pharmatech,torrance,california,90505
